Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
775289981,MNQM5,04/03/2025 12:07:55 -04:00,04/03/2025 12:09:07 -04:00,18906.000000000,18888.000000000,0.74000,-36.000000000,1,Long,04/03/2025 00:00:00 -05:00,00:01:12.1658910
950735877,MESM5,05/20/2025 10:18:41 -04:00,05/20/2025 10:50:26 -04:00,5961.750000000,5968.250000000,0.74000,32.500000000,1,Long,05/20/2025 00:00:00 -05:00,00:31:45.2191240
950735878,MESM5,05/20/2025 10:20:41 -04:00,05/20/2025 10:50:26 -04:00,5961.500000000,5968.250000000,0.74000,33.750000000,1,Long,05/20/2025 00:00:00 -05:00,00:29:44.7956660
899944776,MNQM5,05/06/2025 13:37:00 -04:00,05/06/2025 13:50:56 -04:00,19892.500000000,19854.250000000,0.74000,76.500000000,1,Short,05/06/2025 00:00:00 -05:00,00:13:55.7522210
860212664,MNQM5,04/25/2025 10:25:02 -04:00,04/25/2025 10:27:54 -04:00,19288.750000000,19277.000000000,0.74000,23.500000000,1,Short,04/25/2025 00:00:00 -05:00,00:02:52.1284710
775420299,MNQM5,04/03/2025 12:23:40 -04:00,04/03/2025 12:29:11 -04:00,18971.250000000,18955.500000000,0.74000,-31.500000000,1,Long,04/03/2025 00:00:00 -05:00,00:05:31.7569660
775420300,MNQM5,04/03/2025 12:27:28 -04:00,04/03/2025 12:29:11 -04:00,18925.250000000,18955.500000000,0.74000,60.500000000,1,Long,04/03/2025 00:00:00 -05:00,00:01:43.2879720
986009633,MNQM5,05/30/2025 11:03:23 -04:00,05/30/2025 11:08:02 -04:00,21356.750000000,21367.000000000,0.74000,-20.500000000,1,Short,05/30/2025 00:00:00 -05:00,00:04:38.5880860
986036385,MNQM5,05/30/2025 11:08:02 -04:00,05/30/2025 11:11:18 -04:00,21366.750000000,21337.500000000,0.74000,-58.500000000,1,Long,05/30/2025 00:00:00 -05:00,00:03:15.5880470
793117318,MNQM5,04/08/2025 13:46:34 -04:00,04/08/2025 13:50:06 -04:00,17643.000000000,17600.250000000,0.74000,-85.500000000,1,Long,04/08/2025 00:00:00 -05:00,00:03:32.0234780
793117321,MNQM5,04/08/2025 13:48:58 -04:00,04/08/2025 13:50:06 -04:00,17636.750000000,17600.250000000,0.74000,-73.000000000,1,Long,04/08/2025 00:00:00 -05:00,00:01:08.4404710
793130355,MNQM5,04/08/2025 13:50:30 -04:00,04/08/2025 13:51:40 -04:00,17606.250000000,17637.500000000,0.74000,62.500000000,1,Long,04/08/2025 00:00:00 -05:00,00:01:10.1360250
793130356,MNQM5,04/08/2025 13:50:52 -04:00,04/08/2025 13:51:40 -04:00,17632.750000000,17637.500000000,0.74000,9.500000000,1,Long,04/08/2025 00:00:00 -05:00,00:00:48.4032810
793140524,MNQM5,04/08/2025 13:53:10 -04:00,04/08/2025 13:53:13 -04:00,17665.750000000,17651.000000000,0.74000,-29.500000000,1,Long,04/08/2025 00:00:00 -05:00,00:00:03.0804300
793154651,MNQM5,04/08/2025 13:53:21 -04:00,04/08/2025 13:56:15 -04:00,17655.750000000,17661.250000000,0.74000,11.000000000,1,Long,04/08/2025 00:00:00 -05:00,00:02:53.0419560
